1	1	0.396698	0.414510	0.432376	0.469480	0.490816	4	4	4	4	4	3	3	3	3	3
2	1	0.393302	0.416934	0.423123	0.433261	0.480462	4	4	4	4	4	3	3	3	3	3
3	1	0.404733	0.414942	0.425165	0.449326	0.492762	4	4	4	4	4	3	3	3	3	3
4	1	0.386663	0.415103	0.426618	0.454806	0.486184	4	4	4	4	4	3	3	3	3	3
1	2	0.414297	0.437574	0.455161	0.479542	0.494045	4	4	4	4	5	3	3	3	3	5
2	2	0.411218	0.426234	0.436692	0.463405	0.480462	4	4	4	4	4	3	3	3	3	3
3	2	0.384821	0.437088	0.450803	0.466825	0.492762	4	4	4	4	5	3	3	3	3	5
4	2	0.400679	0.429762	0.450693	0.470162	0.488285	4	4	4	4	5	3	3	3	3	5
1	3	0.418951	0.460215	0.466776	0.475107	0.496967	4	4	4	5	5	3	3	4	5	5
2	3	0.414440	0.440025	0.457087	0.472503	0.492762	4	4	4	4	5	3	3	3	3	5
3	3	0.416123	0.464786	0.465000	0.475668	0.493804	4	4	4	5	5	3	3	3	5	5
4	3	0.441319	0.465963	0.466443	0.481437	0.494045	4	4	5	5	5	3	3	5	5	6
1	4	0.398497	0.468480	0.489549	0.492762	0.497569	4	4	4	5	5	3	3	3	5	5
2	4	0.414463	0.457087	0.461037	0.471867	0.492762	4	4	5	5	5	3	3	5	5	5
3	4	0.429273	0.465000	0.490288	0.496967	0.496967	4	4	5	5	6	3	3	5	5	7
4	4	0.444886	0.469729	0.473374	0.488604	0.494045	4	4	5	5	6	3	3	5	5	7
1	5	0.394481	0.472346	0.476205	0.493444	0.497569	4	4	5	5	5	3	3	5	5	5
2	5	0.421273	0.451876	0.472286	0.493023	0.493804	4	4	4	5	5	3	3	3	5	5
3	5	0.422572	0.476074	0.490316	0.493931	0.497022	4	4	5	5	7	3	3	5	5	9
4	5	0.431039	0.453457	0.477571	0.494222	0.497569	4	5	5	5	7	3	5	5	6	9
1	6	0.431586	0.469915	0.474657	0.495160	0.497608	4	4	5	5	5	3	3	5	5	5
2	6	0.421273	0.458923	0.473787	0.493804	0.494045	4	4	4	5	5	3	3	4	5	5
3	6	0.428246	0.481835	0.491278	0.493960	0.497022	4	5	5	6	7	3	5	5	7	9
