1	1	0.418870	0.425053	0.431237	0.449487	0.467737	4	4	4	4	4	3	3	3	3	3
2	1	0.415242	0.416705	0.418169	0.452416	0.486664	4	4	4	4	4	3	3	3	3	3
1	2	0.418855	0.455516	0.468095	0.473006	0.486664	4	4	4	4	4	3	3	3	3	3
2	2	0.418047	0.418047	0.443250	0.473006	0.486664	4	4	4	4	4	3	3	3	3	3
1	3	0.418855	0.469712	0.486664	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
2	3	0.418047	0.418072	0.452372	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
1	4	0.486664	0.486664	0.486664	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
2	4	0.418081	0.418604	0.452721	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
1	5	0.423844	0.454073	0.475407	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
2	5	0.418081	0.418604	0.452721	0.486664	0.486664	4	4	4	4	4	3	3	3	3	3
