1	1	0.425834	0.431338	0.436842	0.453371	0.469899	4	4	4	4	4	3	3	3	3	3
2	1	0.414317	0.419538	0.424759	0.455617	0.486475	4	4	4	4	4	3	3	3	3	3
1	2	0.436842	0.442596	0.448351	0.459125	0.469899	4	4	4	4	4	3	3	3	3	3
2	2	0.414556	0.416780	0.419004	0.452740	0.486475	4	4	4	4	4	3	3	3	3	3
1	3	0.436842	0.453371	0.469899	0.478187	0.486475	4	4	4	4	4	3	3	3	3	3
2	3	0.414304	0.450390	0.486475	0.486475	0.486475	4	4	4	4	4	3	3	3	3	3
1	4	0.412790	0.449632	0.486475	0.486475	0.486475	4	4	4	4	4	3	3	3	3	3
2	4	0.414304	0.425478	0.436651	0.461563	0.486475	4	4	4	4	4	3	3	3	3	3
1	5	0.407007	0.446741	0.486475	0.486475	0.486475	4	4	4	4	4	3	3	3	3	3
2	5	0.486475	0.486475	0.486475	0.486475	0.486475	4	4	4	4	4	3	3	3	3	3
